"","ID","elev","slope","n.ness","e.ness","h.load","tpi","tri"
"1",1,2662.71508789062,0.0303311602830845,-0.953131631282802,-0.30255593441244,1.00546862604097,0.07177734375,0.793623630346455
"2",2,2660.974609375,0.0248688604508466,-0.82189171942182,0.569643749676799,0.993004510411993,0.21533203125,0.927340293305791
"3",3,2663.56518554688,0.0347205488330866,-0.997820784111556,0.065982443081467,1.00249350117519,-0.02978515625,0.861457624669612
"4",4,2416.86254882812,0.548849518244381,0.793012470566764,0.609205401753463,0.534008976072073,0.652587890625,15.312949576882
"5",5,2528.82080078125,0.287463765026382,0.962855830006322,-0.270016019196708,0.852560225874186,0.27734375,7.33120175741702
"6",6,2517.8857421875,0.305121381361128,-0.742958267412708,0.669337742013034,0.937875341624022,-0.174072265625,8.78397754311492
"7",7,2532.79638671875,0.42010923117442,-0.83338902184417,0.552686835621781,0.937149465084076,0.072265625,10.9428472336105
"8",8,2610.38842773438,0.263264101346565,-0.996430893075774,0.0844125306113732,1.03942335210741,0.23974609375,6.6387118646686
"9",9,2753.60913085938,0.224940550635349,0.244540259882255,-0.969639139730198,1.01840629801154,0.1728515625,5.6547143969775
"10",10,2651.36157226562,0.242826757761143,-0.416785681713501,-0.909004783000955,1.07882053032517,0.48974609375,6.30734486220146
"11",11,2655.34692382812,0.0375861893393392,-0.931501208172327,0.363738228914002,0.997529824264348,0.01513671875,0.91211411272734
"12",12,2484.52514648438,0.330292186560655,0.879741230450147,0.475452802543071,0.738547779619694,-0.508544921875,8.63071811523307
"13",13,2578.90600585938,0.147838478955356,-0.868774853910943,-0.495207283076511,1.05271051824093,0.457763671875,3.94077537183163
"14",14,2410.59423828125,0.126770053498394,0.0701800941818055,0.997534337444397,0.917700075544417,0.61083984375,3.7370263986117
"15",15,2594.36303710938,0.0886916995210953,-0.96619845723045,-0.257799420568584,1.02566916402429,0.163818359375,2.38104022045683
"16",16,2590.93408203125,0.242600725904488,-0.849695387180179,-0.527273884243024,1.08385897614062,0.817138671875,6.64812839475335
"17",17,2884.5556640625,0.185606068262987,-0.994156138494013,-0.10795171279175,1.0453524813056,0.24462890625,4.68238827779333
"18",18,2525.7841796875,0.244998145686465,0.209711670673143,0.977763271545561,0.826598258689046,-0.619873046875,6.58790002093308
"19",19,2527.44262695312,0.164854357114186,0.481525754220381,0.87643194146636,0.873313117772341,-0.148681640625,4.27296615316501
"20",20,2495.17456054688,0.0821370356686282,0.850554264189753,-0.525887291792289,0.97078081779182,-0.109130859375,2.24915981500389
"21",21,2640.28149414062,0.633927932690529,-0.494588312471878,0.869127379137385,0.706226095557213,-0.67822265625,18.0791427503863
"22",22,2813.55419921875,0.328081891155902,0.403517209869442,0.914972054949866,0.745335888117552,-0.9296875,9.09755546215896
"23",23,2772.79370117188,0.284222912474966,-0.824260388633518,-0.566210925123952,1.09666331857443,-0.05126953125,7.124300039777
"24",24,2504.66625976562,0.0649986608532225,0.353090523276176,0.935589163240231,0.949905124492943,-0.04345703125,1.63630182969527
"25",25,2504.98120117188,0.0678359280589819,0.327095110703995,0.944991422476173,0.948410030920058,0.034912109375,1.68492505747368
"26",26,2239.12255859375,0.135520167511888,0.985315551641455,0.17074326836949,0.907163383439183,-0.766357421875,4.18944419024033
"27",27,2235.60595703125,0.0637398831794811,0.751292783383801,0.659969055058964,0.947535928338766,0.33984375,2.12594664749315
"28",28,2622.31274414062,0.0376355607895352,0.168419344920887,0.985715437769146,0.970667194575071,-0.00732421875,0.961143130499176
"29",29,2407.412109375,0.0874721116870473,-0.528114612721062,0.849173101216991,0.969289060682058,0.619140625,3.07320671436843
"30",30,2398.74169921875,0.0967416755415773,0.636014737340407,0.771676910297187,0.922916037961841,0.440185546875,2.79620685801608
"31",31,2408.21118164062,0.140868350476311,0.333028399302008,0.942916796572392,0.896552655845881,0.487060546875,3.99092020721787
"32",32,2412.16943359375,0.0960161884424999,0.877988796903046,0.478681180445547,0.925494628958404,0.163330078125,2.46420950974146
"33",33,2661.61596679688,0.026533187311448,-0.998914996139784,-0.0465707041717713,1.00168631202541,-0.04150390625,0.680898223836652
"34",34,2663.63891601562,0.0280981235486679,-0.889287818496233,-0.457347981163371,1.00566523196176,-0.014892578125,0.772544152254199
"35",35,2616.05786132812,0.278310191700441,-0.977083533200136,0.2128562170789,1.02376841008663,0.100341796875,6.93925058770936
"36",36,2493.43310546875,0.0607583386638307,-0.764830580612441,-0.644231466912348,1.02075729425997,0.117431640625,1.68172707152725
"37",37,2414.45751953125,0.0149789823652747,0.0521525229289386,0.99863913119412,0.985142088145949,0.16455078125,0.775871416059365
"38",38,2210.93701171875,0.17108951120478,-0.907603903527759,-0.419827529232153,1.05805938132107,0.05419921875,4.11304685498999
"39",39,2890.53564453125,0.12073140937149,-0.89956857875201,0.436779546364168,0.997969903983176,0.02685546875,3.12625420197544
"40",40,2618.2978515625,0.092206526690386,0.0796035975240332,0.996826598391732,0.938999092206359,-0.135009765625,2.30764377883784
"41",41,2139.84643554688,0.129245553154213,-0.312689491877762,-0.949855400400096,1.04067036695778,0.294921875,3.3763263798124
"42",42,2366.61083984375,0.523660957196675,-0.521564892495793,0.853211616725799,0.779510769993067,-2.32763671875,16.0458741382013
"43",43,2328.47900390625,0.148529430872297,0.830654531051573,0.556788155444682,0.88410472124815,0.4658203125,4.14834452379423
"44",44,2712.45874023438,0.0724554691147119,-0.985416891100445,0.17015742926459,1.00789989437908,0.136474609375,1.9104314812516
